"Student Username",Date,Lesson,WPM," Accuracy",Errors
demo_student,10/02/2024,"A fun lesson",16,80%,1
demo_student,10/02/2024,"Touching Spirit Bear",72,91%,12
demo_student,10/15/2024,"1. J and F keys",39,89%,7
demo_student,10/21/2024,"1. J and F keys",18,96%,2
demo_student,10/29/2024,"Home Row Only",36,89%,13
demo_student,10/29/2024,"1. J and F keys",35,96%,2
demo_student,10/29/2024,"1. J and F keys",32,100%,0
demo_student,10/29/2024,"15. I E Crazy",39,96%,2
demo_student,10/29/2024,"16. The H key",53,94%,12
demo_student,11/04/2024,"1. J and F keys",17,95%,3
demo_student,11/04/2024,"A fun lesson",12,100%,0
demo_student,11/05/2024,"18. The G key",36,96%,8
demo_student,11/05/2024,"Left Hand Only 2",1,94%,8
demo_student,11/12/2024,"Number Punctuation 3",5,96%,5
demo_student,11/18/2024,"A fun lesson",3,44%,5
demo_student,01/03/2025,"01. The Right Hand",66,93%,4
demo_student,01/09/2025,"01. The Right Hand",55,91%,5
demo_student,01/14/2025,"01. The Right Hand",51,93%,4
demo_student,01/14/2025,"01. The Right Hand",30,76%,17
demo_student,01/29/2025,"30. Medium Reach Review",62,98%,3
demo_student,01/29/2025,"Top Row Only 1",32,95%,4
demo_student,02/06/2025,"1. J and F keys",16,96%,2
demo_student,03/12/2025,"1. J and F keys",20,93%,4
demo_student,04/18/2025,"Test Title",29,80%,3
demo_student,04/18/2025,"Test Title",48,92%,1
demo_student,04/18/2025,"L24 - 29 wpm - 3 min",323,99%,2
demo_student,05/01/2025,"19. G and H Practice",34,92%,8
demo_student,05/01/2025,"1. J and F keys",42,89%,7
demo_student,05/01/2025,"01. The Right Hand",35,85%,9
demo_student,05/01/2025,"01. The Right Hand",66,91%,5
demo_student,05/01/2025,"A fun lesson",10,33%,8
demo_student,05/01/2025,"Free Type",120,100%,0
demo_student,05/02/2025,"New Jersey",64,100%,0
demo_student,05/02/2025,"New Jersey",14,100%,0
demo_student,05/02/2025,"1. J and F keys",25,89%,7
demo_student,05/16/2025,"New Jersey",12,100%,0
demo_student,06/11/2025,"20. Easy Reach Review",51,80%,41
demo_student,08/01/2025,fruit,23,87%,3
demo_student,08/01/2025,"Mini Review",22,97%,1
demo_student,08/01/2025,"1. J and F keys",7,90%,6
demo_student,08/01/2025,"Home Row Only",19,89%,13
demo_student,09/10/2025,"3. JFKD Practice",8,80%,19
